12.0K Nb4Ta_D1_1.01mm_210C_48h_410C_50h_670C_48h 11-14-2019
4:12 PM, Thursday, November 14, 2019
File Description: l=4.75mm;d=1.01mm
Vibration Amplitude [mm]: 1.500
Calibrated at 1.5mm; Data apporpriately scaled for reduced amplitude
Vibration Frequency [Hz]: 55.00
Helium Level [%]: 96.4
Center [mm]: 14.26
Operator Name: Nawaraj

Time [ms]	Field [T]	Moment [emu]	Temp [K]	dMoment [emu]	Kramer
46.00000000	-1.99840000	0.02166008	12.02600000	-0.00001350	0.00436782
546.00000000	-1.99340000	0.02154834	12.02600000	0.00016985	0.01548553
1046.00000000	-1.98830000	0.02096868	12.02600000	0.00080867	0.03376816
1546.00000000	-1.98340000	0.01860884	12.02600000	0.00322315	0.06737411
2047.00000000	-1.97840000	0.01432825	12.02600000	0.00756112	0.10312684
2547.00000000	-1.97330000	0.00916407	12.02600000	0.01278976	0.13403847
3047.00000000	-1.96830000	0.00459892	12.02500000	0.01742233	0.15634212
3548.00000000	-1.96340000	0.00085247	12.02500000	0.02123139	0.17248105
4048.00000000	-1.95820000	-0.00189077	12.02500000	0.02403461	0.18339301
4549.00000000	-1.95330000	-0.00372063	12.02500000	0.02593406	0.19038271
5050.00000000	-1.94830000	-0.00565965	12.02500000	0.02793828	0.19747576
5550.00000000	-1.94340000	-0.00709330	12.02500000	0.02943443	0.20256683
6050.00000000	-1.93820000	-0.00841688	12.02500000	0.03083047	0.20717612
6550.00000000	-1.93330000	-0.00959227	12.02500000	0.03207846	0.21119400
7050.00000000	-1.92830000	-0.01068645	12.02500000	0.03324410	0.21485769
7551.00000000	-1.92340000	-0.01168314	12.02500000	0.03430962	0.21813501
8051.00000000	-1.91820000	-0.01258826	12.02500000	0.03527778	0.22104164
8552.00000000	-1.91330000	-0.01346149	12.02500000	0.03621568	0.22381754
9053.00000000	-1.90830000	-0.01426850	12.02500000	0.03709383	0.22636667
9553.00000000	-1.90340000	-0.01501180	12.02500000	0.03791080	0.22869886
10053.00000000	-1.89820000	-0.01569924	12.02500000	0.03867413	0.23083186
10553.00000000	-1.89330000	-0.01632298	12.02500000	0.03937057	0.23275054
11053.00000000	-1.88830000	-0.01690904	12.02500000	0.04002321	0.23451666
11553.00000000	-1.88340000	-0.01744966	12.02600000	0.04062516	0.23612021
12053.00000000	-1.87820000	-0.01795124	12.02600000	0.04120406	0.23763230
12553.00000000	-1.87330000	-0.01841909	12.02600000	0.04173721	0.23900862
13053.00000000	-1.86830000	-0.01884920	12.02600000	0.04223607	0.24027214
13553.00000000	-1.86340000	-0.01924947	12.02700000	0.04270504	0.24144382
14053.00000000	-1.85820000	-0.01961588	12.02800000	0.04315444	0.24254137
14553.00000000	-1.85330000	-0.01995510	12.02900000	0.04356633	0.24353529
15054.00000000	-1.84830000	-0.02027736	12.03000000	0.04395059	0.24444179
15555.00000000	-1.84320000	-0.02057884	12.03100000	0.04430563	0.24525765
16056.00000000	-1.83820000	-0.02086213	12.03300000	0.04464587	0.24603044
16556.00000000	-1.83330000	-0.02112075	12.03400000	0.04497145	0.24676118
17057.00000000	-1.82830000	-0.02136248	12.03600000	0.04528706	0.24745653
17557.00000000	-1.82320000	-0.02160291	12.03700000	0.04561174	0.24816865
18057.00000000	-1.81820000	-0.02183422	12.03700000	0.04592126	0.24883836
18557.00000000	-1.81330000	-0.02204474	12.03800000	0.04620196	0.24942940
19057.00000000	-1.80830000	-0.02223966	12.03800000	0.04647819	0.25000128
19557.00000000	-1.80320000	-0.02241640	12.03900000	0.04673723	0.25052003
20057.00000000	-1.79820000	-0.02258407	12.03900000	0.04698885	0.25101919
20557.00000000	-1.79330000	-0.02275426	12.04000000	0.04724539	0.25153183
21057.00000000	-1.78830000	-0.02291539	12.04000000	0.04749162	0.25201046
21557.00000000	-1.78320000	-0.02305574	12.04000000	0.04770194	0.25238761
22057.00000000	-1.77820000	-0.02318573	12.04100000	0.04788850	0.25270321
22558.00000000	-1.77330000	-0.02331824	12.04100000	0.04808650	0.25305045
23058.00000000	-1.76830000	-0.02344687	12.04100000	0.04828884	0.25340335
23559.00000000	-1.76320000	-0.02356515	12.04000000	0.04848397	0.25373156
24059.00000000	-1.75820000	-0.02367818	12.04000000	0.04868485	0.25407619
24560.00000000	-1.75330000	-0.02378998	12.04000000	0.04888162	0.25441157
25060.00000000	-1.74810000	-0.02389524	12.04000000	0.04907016	0.25471254
25561.00000000	-1.74320000	-0.02399526	12.04000000	0.04924666	0.25499120
26061.00000000	-1.73820000	-0.02409923	12.04000000	0.04943935	0.25530617
26561.00000000	-1.73330000	-0.02419802	12.04000000	0.04962241	0.25559794
27061.00000000	-1.72810000	-0.02429027	12.04000000	0.04980040	0.25586369
27562.00000000	-1.72320000	-0.02438640	12.04000000	0.04996803	0.25611207
