	Time	Field	Moment	Temerature	dMoment	Kramer	Jc	Fp	Km	Hnorm	Fpnorm
0	50.0	-1.9984	0.10073207	4.168	0.0004617	0.02554762	9.72e-05	-0.00019424448		-0.47472443937666287	-0.0020944091506034366
1	550.0	-1.9934	0.10046704	4.168	0.0008736	0.03512011	0.0001839157894736842	-0.0003666177347368421		-0.4735366780691752	-0.0039529954128238055
2	1050.0	-1.9885	0.09963039	4.168	0.00184912	0.05106393	0.0003892884210526316	-0.000774100025263158		-0.47237267198783733	-0.008346606175853798
3	1550.0	-1.9835	0.09662583	4.168	0.00503407	0.08420111	0.0010598042105263157	-0.0021021216515789472		-0.4711849106803497	-0.02266578088987937
4	2050.0	-1.9784	0.09074682	4.168	0.01111677	0.12504541	0.0023403726315789474	-0.004630193214315789		-0.46997339414671224	-0.04992429662415595
5	2550.0	-1.9734	0.0831005	4.168	0.0189407	0.16311795	0.003987515789473685	-0.00786896365894737		-0.46878563283922464	-0.08484580613598529
6	3050.0	-1.9685	0.0750488	4.168	0.02717277	0.19525439	0.005720583157894737	-0.011260967946315788		-0.4676216267578867	-0.12141953434875356
7	3551.0	-1.9634	0.06764666	4.168	0.03478777	0.22078294	0.00732374105263158	-0.014379433182736844		-0.46641011022424933	-0.15504387274436185
8	4051.0	-1.9584	0.06126356	4.168	0.04138089	0.24064413	0.008711766315789474	-0.017061123152842105		-0.4652223489167617	-0.183958753684453
9	4552.0	-1.9534	0.05576935	4.168	0.04705993	0.25646224	0.009907353684210526	-0.01935302468673684		-0.464034587609274	-0.20867080493487303
10	5052.0	-1.9483	0.05091442	4.168	0.05208199	0.2696235	0.010964629473684212	-0.021362387603578947		-0.46282307107563664	-0.2303364300271141
11	5552.0	-1.9434	0.04665727	4.169	0.05650226	0.28065544	0.011895212631578948	-0.023117156228210527		-0.46165906499429876	-0.24925693404668875
12	6053.0	-1.9384	0.04259769	4.169	0.06073419	0.29078867	0.012786145263157895	-0.024784663978105262		-0.46047130368681105	-0.2672365620396267
13	6554.0	-1.9334	0.03871465	4.169	0.06482248	0.3002225	0.013646837894736842	-0.026384796385684212		-0.45928354237932345	-0.2844897264879058
14	7054.0	-1.9285	0.03510985	4.169	0.06865077	0.30876469	0.014452793684210527	-0.027872212620000003		-0.4581195362979856	-0.30052754734081805
15	7554.0	-1.9234	0.03146607	4.169	0.07250676	0.31710759	0.015264581052631579	-0.02935989519663158		-0.45690801976434814	-0.31656823998593453
16	8054.0	-1.9184	0.02797042	4.169	0.07621218	0.32489796	0.01604466947368421	-0.030780093918315793		-0.45572025845686054	-0.3318812990667935
17	8554.0	-1.9134	0.02466451	4.169	0.07970323	0.33203922	0.016779627368421052	-0.03210613900673684		-0.4545324971493729	-0.34617916208612753
18	9055.0	-1.9083	0.02148334	4.169	0.08309803	0.33881064	0.01749432210526316	-0.03338441487347369		-0.4533209806157355	-0.35996196133112646
19	9555.0	-1.9034	0.01848402	4.168	0.08631814	0.34509093	0.01817224	-0.034589041615999995		-0.45215697453439757	-0.3729506510102808
20	10055.0	-1.8984	0.01570183	4.168	0.08927237	0.35071591	0.018794183157894738	-0.035678877306947375		-0.4509692132269099	-0.384701625059965
21	10555.0	-1.8934	0.01288715	4.168	0.09228736	0.35635405	0.01942891789473684	-0.03678671314189473		-0.44978145191942226	-0.39664668270114045
22	11055.0	-1.8883	0.01019196	4.168	0.09520018	0.3616901	0.020042143157894737	-0.037845578925052636		-0.4485699353857849	-0.40806372881491826
23	11555.0	-1.8834	0.00769367	4.168	0.09792304	0.36658787	0.020615376842105265	-0.03882700074442105		-0.44740592930444695	-0.41864574812937744
24	12055.0	-1.8782	0.00514211	4.168	0.10071292	0.37151646	0.021202719999999998	-0.039822948704		-0.44617065754465984	-0.42938439316097354
25	12555.0	-1.8734	0.00274325	4.168	0.10330553	0.37602733	0.02174853263157895	-0.04074370103200001		-0.4450304066894717	-0.43931225366544
26	13055.0	-1.8683	0.00046262	4.168	0.10582006	0.38031693	0.02227790736842105	-0.04162181433642105		-0.4438188901558343	-0.4487803659126764
27	13556.0	-1.8634	-0.00178779	4.168	0.10825556	0.38441616	0.022790644210526317	-0.04246808642189474		-0.4426548840744964	-0.45790515545478505
28	14056.0	-1.8584	-0.00372063	4.168	0.11039947	0.38794333	0.023241993684210527	-0.043192921062736846		-0.4414671227670088	-0.465720565727726
29	14556.0	-1.8533	-0.00615996	4.168	0.11304463	0.39229376	0.02379886947368421	-0.044106444795578945		-0.44025560623337134	-0.47557048509407246
30	15056.0	-1.8483	-0.00829274	4.168	0.11541063	0.3961102	0.024296974736842104	-0.04490809840610526		-0.4390678449258837	-0.48421418327020904
31	15556.0	-1.8434	-0.01033946	4.168	0.11768068	0.39972147	0.02477488	-0.045670013791999996		-0.43790383884454576	-0.49242941057655765
32	16056.0	-1.8384	-0.01230565	4.167	0.11985793	0.40312839	0.025233248421052634	-0.04638880389726316		-0.43671607753705816	-0.500179646639
33	16557.0	-1.8334	-0.01417884	4.167	0.12193227	0.40632509	0.02566995157894737	-0.047063289224842104		-0.4355283162295705	-0.5074521737246043
34	17057.0	-1.8283	-0.01609038	4.167	0.12408002	0.40960268	0.02612210947368421	-0.047759052750736844		-0.4343167996959331	-0.5149541294830899
35	17557.0	-1.8234	-0.01793564	4.167	0.12612792	0.41269205	0.026553246315789474	-0.04841718933221052		-0.4331527936145952	-0.5220503789033326
36	18057.0	-1.8184	-0.01973286	4.167	0.12811701	0.41564806	0.026972002105263158	-0.04904588862821053		-0.4319650323071076	-0.5288292256356585
37	18558.0	-1.8133	-0.02148723	4.167	0.13007717	0.41852168	0.027384667368421052	-0.04965661733915789		-0.43075351577347015	-0.5354143074909802
38	19058.0	-1.8083	-0.02318961	4.167	0.1320105	0.42132949	0.027791684210526316	-0.05025570255789474		-0.4295657544659825	-0.5418738453070031
39	19558.0	-1.8034	-0.02483347	4.167	0.13386013	0.42398319	0.028181079999999997	-0.05082175967199999		-0.4284017483846446	-0.5479772630182618
40	20058.0	-1.7984	-0.02645648	4.167	0.13571502	0.42661442	0.028571583157894737	-0.051383135151157895		-0.42721398707715696	-0.5540302017708724
41	20558.0	-1.7933	-0.0280562	4.167	0.13754131	0.42917045	0.028956065263157894	-0.05192691183642105		-0.42600247054351953	-0.5598933844234757
42	21058.0	-1.7883	-0.02958437	4.167	0.13932189	0.43163809	0.029330924210526316	-0.052452491765684214		-0.42481470923603193	-0.5655603635480423
43	21558.0	-1.7833	-0.0311464	4.168	0.14111488	0.43410272	0.029708395789473683	-0.052978982211368424		-0.42362694792854433	-0.5712371601661304
44	22059.0	-1.7784	-0.03268759	4.168	0.14290106	0.43654104	0.030084433684210526	-0.053502156864		-0.4224629418472064	-0.5768782047911069
