4.2K Nb4Ta_D1_1.01mm_210C_48h_410C_50h_670C_48h 11-14-2019
11:27 AM, Thursday, November 14, 2019
File Description: l=4.75mm;d=1.1mm
Vibration Amplitude [mm]: 1.500
Calibrated at 1.5mm; Data apporpriately scaled for reduced amplitude
Vibration Frequency [Hz]: 55.00
Helium Level [%]: 75.0
Center [mm]: 14.26
Operator Name: Nawaraj

Time [ms]	Field [T]	Moment [emu]	Temp [K]	dMoment [emu]	Kramer
33065.00000000	-1.66830000	-0.06032792	4.17200000	0.17553491	0.47615712
33566.00000000	-1.66330000	-0.06138830	4.17200000	0.17684318	0.47756974
34067.00000000	-1.65820000	-0.06244351	4.17200000	0.17819349	0.47902165
34568.00000000	-1.65330000	-0.06347788	4.17200000	0.17949321	0.48040988
35068.00000000	-1.64830000	-0.06450188	4.17200000	0.18079006	0.48177730
35568.00000000	-1.64330000	-0.06549468	4.17200000	0.18203015	0.48305978
36068.00000000	-1.63820000	-0.06647195	4.17200000	0.18330480	0.48437158
36568.00000000	-1.63330000	-0.06743873	4.17200000	0.18455703	0.48565939
37068.00000000	-1.62830000	-0.06840537	4.17200000	0.18581634	0.48694011
37569.00000000	-1.62320000	-0.06936737	4.17200000	0.18702313	0.48813582
38070.00000000	-1.61820000	-0.07032393	4.17200000	0.18816869	0.48925100
38570.00000000	-1.61310000	-0.07126414	4.17200000	0.18932451	0.49036419
39070.00000000	-1.60830000	-0.07214779	4.17200000	0.19044329	0.49144464
39570.00000000	-1.60330000	-0.07304235	4.17200000	0.19159264	0.49254182
40070.00000000	-1.59820000	-0.07393078	4.17300000	0.19273710	0.49361738
40570.00000000	-1.59330000	-0.07481443	4.17300000	0.19388547	0.49470582
41070.00000000	-1.58830000	-0.07571376	4.17400000	0.19504976	0.49579923
41570.00000000	-1.58320000	-0.07661308	4.17400000	0.19623017	0.49689752
42071.00000000	-1.57820000	-0.07748107	4.17400000	0.19736694	0.49794080
42571.00000000	-1.57330000	-0.07832862	4.17500000	0.19845857	0.49892793
43071.00000000	-1.56830000	-0.07915504	4.17500000	0.19953073	0.49987587
43571.00000000	-1.56320000	-0.07999714	4.17500000	0.20065553	0.50087483
44072.00000000	-1.55820000	-0.08082902	4.17500000	0.20177833	0.50187211
44572.00000000	-1.55330000	-0.08164999	4.17500000	0.20288166	0.50284627
45072.00000000	-1.54830000	-0.08244031	4.17600000	0.20391662	0.50372104
45572.00000000	-1.54320000	-0.08323540	4.17600000	0.20495064	0.50458018
46072.00000000	-1.53820000	-0.08400460	4.17600000	0.20597314	0.50542707
46572.00000000	-1.53330000	-0.08479491	4.17600000	0.20704822	0.50634035
47072.00000000	-1.52830000	-0.08559068	4.17600000	0.20812967	0.50724660
47572.00000000	-1.52320000	-0.08638577	4.17600000	0.20922375	0.50815326
48072.00000000	-1.51820000	-0.08715496	4.17600000	0.21024031	0.50896772
48572.00000000	-1.51330000	-0.08791939	4.17600000	0.21122652	0.50974794
49072.00000000	-1.50830000	-0.08866747	4.17600000	0.21224613	0.51055416
49573.00000000	-1.50320000	-0.08938488	4.17600000	0.21326423	0.51134404
50073.00000000	-1.49820000	-0.09008118	4.17600000	0.21423101	0.51207504
50573.00000000	-1.49330000	-0.09078838	4.17600000	0.21520047	0.51281223
51073.00000000	-1.48830000	-0.09150580	4.17600000	0.21614374	0.51350414
51573.00000000	-1.48320000	-0.09222798	4.17600000	0.21714700	0.51425302
52074.00000000	-1.47820000	-0.09297674	4.17700000	0.21816582	0.51502303
