6.0K Nb4Ta_D1_1.01mm_210C_48h_410C_50h_670C_48h 11-14-2019
12:36 PM, Thursday, November 14, 2019
File Description: l=4.75mm;d=1.1mm
Vibration Amplitude [mm]: 1.500
Calibrated at 1.5mm; Data apporpriately scaled for reduced amplitude
Vibration Frequency [Hz]: 55.00
Helium Level [%]: 72.3
Center [mm]: 14.26
Operator Name: Nawaraj

Time [ms]	Field [T]	Moment [emu]	Temp [K]	dMoment [emu]	Kramer
42.00000000	-1.99840000	0.08564723	6.01700000	0.00010767	0.01233746
542.00000000	-1.99340000	0.08549189	6.01700000	0.00043531	0.02479136
1042.00000000	-1.98850000	0.08480513	6.01700000	0.00132037	0.04314992
1542.00000000	-1.98350000	0.08205537	6.01600000	0.00428187	0.07765599
2043.00000000	-1.97840000	0.07644139	6.01600000	0.01006184	0.11896447
2543.00000000	-1.97340000	0.06897222	6.01600000	0.01768274	0.15760809
3044.00000000	-1.96850000	0.06111803	6.01600000	0.02574057	0.19003907
3544.00000000	-1.96350000	0.05390843	6.01500000	0.03317720	0.21561432
4044.00000000	-1.95840000	0.04771248	6.01500000	0.03955430	0.23527307
4545.00000000	-1.95340000	0.04256111	6.01500000	0.04484602	0.25035701
5045.00000000	-1.94830000	0.03810126	6.01400000	0.04945014	0.26272277
5546.00000000	-1.94340000	0.03423654	6.01300000	0.05347982	0.27304580
6046.00000000	-1.93840000	0.03046285	6.01300000	0.05746007	0.28284202
6546.00000000	-1.93340000	0.02692045	6.01200000	0.06117831	0.29166154
7046.00000000	-1.92830000	0.02353136	6.01100000	0.06471681	0.29977969
7547.00000000	-1.92340000	0.02025658	6.01100000	0.06815131	0.30743584
8047.00000000	-1.91840000	0.01725215	6.01000000	0.07135737	0.31437948
8547.00000000	-1.91340000	0.01426591	6.01000000	0.07454545	0.32111605
9047.00000000	-1.90830000	0.01140571	6.00900000	0.07758638	0.32738171
9547.00000000	-1.90340000	0.00870793	6.00900000	0.08045893	0.33317288
10047.00000000	-1.89840000	0.00619862	6.00900000	0.08313739	0.33845048
10547.00000000	-1.89330000	0.00367953	6.00800000	0.08580452	0.34360537
11047.00000000	-1.88830000	0.00132516	6.00800000	0.08830621	0.34834803
11547.00000000	-1.88340000	-0.00092411	6.00800000	0.09073549	0.35287772
12047.00000000	-1.87820000	-0.00148826	6.00800000	0.09152636	0.35416738
12547.00000000	-1.87340000	-0.00372063	6.00800000	0.09396764	0.35863015
13047.00000000	-1.86830000	-0.00731684	6.00800000	0.09778464	0.36559225
13547.00000000	-1.86340000	-0.00935899	6.00900000	0.10000157	0.36947064
14047.00000000	-1.85840000	-0.01135958	6.00900000	0.10218407	0.37322988
14547.00000000	-1.85340000	-0.01320940	6.00900000	0.10425120	0.37673227
15048.00000000	-1.84830000	-0.01506379	6.00900000	0.10631169	0.38017506
15548.00000000	-1.84340000	-0.01684800	6.00900000	0.10827067	0.38340725
16049.00000000	-1.83840000	-0.01859582	6.00900000	0.11021293	0.38656833
16549.00000000	-1.83340000	-0.02027607	6.00900000	0.11208643	0.38957478
17049.00000000	-1.82830000	-0.02189663	6.00900000	0.11388198	0.39240938
17549.00000000	-1.82340000	-0.02348455	6.00900000	0.11563486	0.39515264
18049.00000000	-1.81840000	-0.02504788	6.00900000	0.11737465	0.39784098
18549.00000000	-1.81340000	-0.02659166	6.00900000	0.11912068	0.40051334
19049.00000000	-1.80830000	-0.02809387	6.00900000	0.12086070	0.40314398
19549.00000000	-1.80340000	-0.02949341	6.00900000	0.12247561	0.40555318
20049.00000000	-1.79840000	-0.03094889	6.00900000	0.12410754	0.40796289
20549.00000000	-1.79340000	-0.03238352	6.00900000	0.12570630	0.41029650
21049.00000000	-1.78830000	-0.03376617	6.00800000	0.12726068	0.41253159
21549.00000000	-1.78330000	-0.03512020	6.00800000	0.12881883	0.41475896
22049.00000000	-1.77840000	-0.03645352	6.00800000	0.13037115	0.41696356
22549.00000000	-1.77340000	-0.03773220	6.00800000	0.13187180	0.41906138
23049.00000000	-1.76830000	-0.03895372	6.00800000	0.13329437	0.42101240
23549.00000000	-1.76330000	-0.04015704	6.00800000	0.13468299	0.42290023
24049.00000000	-1.75840000	-0.04135001	6.00800000	0.13605251	0.42474932
24549.00000000	-1.75330000	-0.04251696	6.00800000	0.13744183	0.42660262
25049.00000000	-1.74830000	-0.04367361	6.00900000	0.13882556	0.42843871
25549.00000000	-1.74330000	-0.04481460	6.01000000	0.14016556	0.43019335
26049.00000000	-1.73840000	-0.04594516	6.01100000	0.14148975	0.43191663
26549.00000000	-1.73340000	-0.04706530	6.01200000	0.14282216	0.43363317
27049.00000000	-1.72830000	-0.04817508	6.01300000	0.14416011	0.43533875
27549.00000000	-1.72330000	-0.04927969	6.01300000	0.14549424	0.43703188
